Credit_Score,Property_Price,Loan_Amount_Requested,Number_of_Defaults,Income,Property_Location,Applicant_Location,Loan_Sanction_Amount
573,3674343,1144109,0,434558,Urban,CityC,1281701
661,5448253,1484077,0,835638,Urban,CityB,1976387
701,6150670,4801286,0,651316,Rural,CityC,3184110
583,2459977,1567617,0,565556,Urban,CityA,1213793
631,7458333,2853466,0,798767,Semi-Urban,CityA,2726651
652,3432503,2113183,0,116288,Rural,CityA,1414760
553,4497419,1402558,0,338383,Semi-Urban,CityD,1527984
672,5571008,2613399,0,474237,Urban,CityA,2073685
709,4651096,1139520,0,576261,Urban,CityC,1604876
589,6204405,1724714,0,627067,Urban,CityA,1845997
674,5226388,2110500,1,679920,Urban,CityA,1778904
558,5854627,923264,0,606503,Urban,CityD,1653844
647,5112460,3564926,0,667093,Rural,CityB,2549668
536,7208002,5344232,0,366928,Semi-Urban,CityD,3389156
728,1976753,492558,0,550165,Rural,CityC,859257
678,5546141,2393744,1,629818,Rural,CityB,2210344
648,4549077,3134413,0,886233,Semi-Urban,CityA,2383906
595,3561451,1074829,0,553633,Urban,CityC,1260717
739,3782585,1995299,1,788236,Semi-Urban,CityB,1708735
787,4142030,1695886,0,833790,Urban,CityB,2039502
519,5867616,2219391,0,689882,Rural,CityD,2226298
736,3655804,2385639,0,891960,Urban,CityB,1792793
763,4755225,2021726,0,422140,Semi-Urban,CityA,1902488
673,5412873,2302429,0,179431,Urban,CityB,2033756
566,3266313,2594824,0,415708,Rural,CityC,1732137
710,6668523,5158508,0,348261,Urban,CityA,3417463
637,8632384,2283754,0,619763,Urban,CityA,2596274
607,3988974,1032616,1,806692,Urban,CityC,1538255
563,6379171,3597320,0,643420,Urban,CityB,2401257
688,4535481,1761411,1,492563,Rural,CityB,1550813
705,5800051,3498172,0,463180,Urban,CityD,2413083
606,4727442,2899895,0,901132,Urban,CityB,2025721
686,8312992,5389366,0,445423,Urban,CityD,3873999
569,4513502,1283280,0,539950,Rural,CityC,1530536
706,6190896,4945602,0,265387,Urban,CityB,2933333
653,5911049,2633906,2,665786,Semi-Urban,CityD,2394039
636,3374060,535627,0,768955,Semi-Urban,CityD,1329384
642,1759596,313931,0,669053,Semi-Urban,CityB,839094
710,5868631,2893527,0,616271,Urban,CityC,2191652
702,6266778,2864395,0,684039,Rural,CityD,2264321
687,4194942,3164601,0,607672,Urban,CityA,2091912
659,4049938,2958797,1,674773,Urban,CityB,2021060
655,6465205,2752771,0,584048,Semi-Urban,CityB,2479083
693,6279250,1535490,0,224281,Urban,CityC,1969574
666,6433815,3185332,0,929099,Semi-Urban,CityD,2782792
697,5392103,1704516,0,286938,Semi-Urban,CityA,1708367
628,3817585,2120325,0,233185,Rural,CityC,1598426
479,3173040,1461416,0,566805,Rural,CityB,1131635
722,2010295,1387558,0,838521,Rural,CityD,1249940
803,4913477,944460,0,697773,Rural,CityC,1689960
680,7878753,2172210,0,571887,Urban,CityB,2476235
642,5716842,2962879,0,444944,Semi-Urban,CityB,2224009
640,4880390,2623943,1,675149,Rural,CityD,2211141
641,2718881,1057144,0,745513,Urban,CityC,1107014
651,3998105,2920274,1,630850,Urban,CityC,2103193
571,5007408,3340905,0,930767,Urban,CityB,2456761
613,4666671,2233445,2,554088,Urban,CityB,1718443
580,6362510,2440153,0,481376,Urban,CityB,2048134
667,4762090,1800188,0,596426,Semi-Urban,CityC,1936512
629,6042959,1086477,0,624044,Rural,CityD,1984593
684,4828673,3650822,0,488803,Semi-Urban,CityB,2230347
637,4715349,1245677,0,769693,Urban,CityD,1837915
719,6888700,1425766,0,-11127,Urban,CityB,1775889
664,3872034,1769562,1,818056,Semi-Urban,CityB,1732829
803,4575421,1914956,1,666622,Semi-Urban,CityB,2035276
517,3060894,464701,0,189038,Urban,CityB,718919
604,5145109,2587481,0,630528,Rural,CityD,2276898
713,6604252,3889737,0,589319,Semi-Urban,CityA,2731166
826,6022103,2670105,0,706716,Urban,CityD,2300345
632,6101018,921410,0,586295,Urban,CityD,1622152
653,6579564,1485434,0,484986,Urban,CityA,1808127
634,5937827,1075666,0,618675,Urban,CityD,1825093
743,6137389,3120395,0,498008,Semi-Urban,CityA,2541299
629,5605586,894435,0,911873,Urban,CityD,1739593
697,3536917,1304551,0,892458,Semi-Urban,CityD,1547289
627,5789143,1175251,0,634310,Urban,CityA,1820136
560,6418830,2490765,0,284751,Urban,CityC,2077943
671,3662136,1969103,0,749425,Urban,CityC,1797152
685,5353985,1882877,0,396725,Rural,CityC,1885057
740,6624220,4817060,0,819226,Urban,CityC,3426900
642,4439785,1741445,0,763525,Urban,CityD,1912912
606,3018340,2274496,0,621852,Semi-Urban,CityB,1483358
689,5092301,3433839,0,506803,Urban,CityA,2168432
666,7390528,1342487,1,539463,Urban,CityA,2001705
669,3630582,627277,0,773754,Semi-Urban,CityB,1282945
644,4841915,934330,0,605687,Semi-Urban,CityB,1438180
731,3873454,2118500,0,487558,Urban,CityB,1761698
675,4461549,2584194,0,452258,Urban,CityC,1968469
783,5352157,3494996,0,829717,Urban,CityA,2595557
727,7215220,3460622,0,627292,Semi-Urban,CityB,2808201
696,3925034,2248065,0,291982,Urban,CityC,1488760
536,3937018,2286329,1,537692,Rural,CityC,1545511
692,3691246,1243067,0,633285,Urban,CityB,1386316
679,3359314,1865633,0,721889,Semi-Urban,CityA,1453288
706,2697950,1032957,0,823974,Semi-Urban,CityA,1412249
723,3723107,2040691,0,563191,Urban,CityB,1743953
621,4841280,3651459,0,868042,Rural,CityC,2645774
707,5061298,2029477,0,730299,Urban,CityA,2061327
610,6758674,3070582,0,780272,Rural,CityA,2325665
786,3767599,1252521,0,691659,Semi-Urban,CityD,1623183
556,3830093,1934597,0,381888,Semi-Urban,CityC,1572407
526,3864744,2722303,0,688045,Semi-Urban,CityD,1637612
534,5293619,1580434,0,477544,Semi-Urban,CityB,1560050
587,4762291,3257756,1,1012719,Urban,CityD,2110802
571,6165813,2858681,0,611317,Semi-Urban,CityB,2204687
786,3816289,985570,1,460785,Urban,CityB,1473539
627,6369888,2507271,0,807235,Semi-Urban,CityC,2258300
556,6413770,1391123,0,566427,Rural,CityD,1892683
728,4606298,3402563,0,353549,Urban,CityA,2139890
608,4066194,571556,0,765587,Urban,CityA,1414887
563,5271754,2756086,0,559272,Urban,CityD,2077199
711,3812699,658705,0,571352,Semi-Urban,CityB,1207230
693,7988307,2551742,0,174022,Semi-Urban,CityD,2255378
619,5211331,1042575,0,512491,Urban,CityB,1423417
748,6188661,2782777,0,471773,Semi-Urban,CityD,2262865
659,3099339,1689972,1,622386,Rural,CityA,1288261
763,2373864,1615364,0,616334,Semi-Urban,CityC,1356173
685,6030899,2502878,0,267749,Urban,CityB,2184335
759,5773830,3687251,0,891135,Urban,CityB,2614237
657,3859093,1994134,0,315426,Urban,CityD,1623335
564,4149837,3239301,1,462427,Urban,CityD,2092804
821,3980084,731544,0,160523,Semi-Urban,CityC,1338700
611,5341740,3586564,0,446393,Urban,CityA,2500959
636,6385778,4371763,1,396286,Semi-Urban,CityB,2761074
600,2682710,1754761,0,656091,Semi-Urban,CityC,1224702
635,5718118,2392331,1,520792,Urban,CityA,2058381
666,3688748,1730195,0,682207,Semi-Urban,CityB,1647767
664,4203602,3319876,0,507973,Urban,CityC,2245633
696,4759347,3623029,0,553130,Urban,CityB,2378467
775,2957819,1875557,0,747077,Rural,CityD,1731668
641,9265908,3911908,0,397193,Urban,CityC,3388230
563,8637466,4130133,0,714689,Rural,CityA,3251919
567,6128405,4064311,0,630813,Urban,CityC,2704558
603,5984023,1758158,0,635228,Semi-Urban,CityC,2140775
532,3434585,960218,1,710418,Rural,CityB,1182363
707,8566023,2138961,0,302710,Urban,CityB,2272488
615,5027476,2442571,1,710089,Semi-Urban,CityA,1932156
628,4814907,3688108,0,667618,Semi-Urban,CityC,2504937
649,6805990,1813222,0,378229,Semi-Urban,CityB,2229859
552,5391200,3564228,0,580412,Urban,CityC,2470171
589,3835095,465147,0,614970,Urban,CityC,1208159
697,4671618,2122568,1,402969,Urban,CityC,1703108
693,4435871,1325517,0,627230,Urban,CityC,1721683
618,5096984,1518418,0,498486,Semi-Urban,CityA,1615859
776,5831686,2183277,0,559417,Semi-Urban,CityB,2215555
558,5799138,2753548,0,469372,Semi-Urban,CityC,2262502
625,6951803,4456243,1,868234,Urban,CityD,3252600
633,4993845,3861045,0,481193,Rural,CityB,2233120
454,6437103,1321344,0,695466,Urban,CityC,1875503
785,7559993,2845227,0,745362,Semi-Urban,CityB,3017992
675,3160966,676188,0,637803,Urban,CityD,1157426
576,6068856,4161108,0,794021,Semi-Urban,CityA,2735512
793,3391502,540475,0,382906,Rural,CityA,1281688
690,2739387,1915927,0,47860,Rural,CityC,1141102
680,7376993,4563346,0,540098,Rural,CityC,3070707
607,6703226,4697859,0,810293,Rural,CityC,3183947
657,5785059,4182275,0,573523,Urban,CityA,2604965
543,4284603,880673,0,656622,Urban,CityD,1301215
705,7255342,3552798,0,500855,Semi-Urban,CityB,2585740
623,2949248,919464,0,538903,Rural,CityC,1094615
659,5101089,1478582,1,648345,Urban,CityB,1577176
734,5727766,638669,0,276082,Semi-Urban,CityB,1661932
669,6930690,3192460,0,806649,Rural,CityC,2469664
668,2710358,307177,0,625679,Urban,CityA,927653
669,403788,294265,0,833494,Rural,CityD,403788
598,5173055,1484083,0,662443,Urban,CityD,1845509
708,5476141,2438862,1,711826,Rural,CityC,2375819
758,5260520,2869573,0,823923,Urban,CityB,2186745
703,3684130,372281,1,667628,Urban,CityD,1191263
711,4933759,884461,0,790305,Urban,CityB,1595233
588,2689881,1147447,0,679758,Semi-Urban,CityA,1227059
589,5630890,3019815,0,562694,Rural,CityA,2467174
549,6338883,4270948,0,745801,Urban,CityA,2960716
736,3901952,1523181,0,674443,Urban,CityC,1521438
632,1994087,1493168,0,541625,Urban,CityD,1146422
747,4805327,2489968,0,650596,Urban,CityC,2004586
595,4702250,476251,0,811472,Semi-Urban,CityA,1482659
619,4879090,2810485,0,832977,Urban,CityD,2355125
656,6955363,1731479,1,748512,Urban,CityD,2025261
714,5207893,576405,0,726777,Semi-Urban,CityD,1537441
654,8126184,4997796,1,567933,Semi-Urban,CityC,3212622
664,5571115,2709441,0,1405370,Urban,CityB,2814955
651,3369149,2185010,0,545730,Semi-Urban,CityB,1733475
662,6700420,1083581,0,709008,Urban,CityA,1815706
571,4864483,1697655,0,804123,Urban,CityC,1782480
655,4266844,1321830,0,495286,Semi-Urban,CityB,1455673
636,5419102,2700350,0,318154,Rural,CityB,1953870
646,5172176,2364239,0,376643,Urban,CityD,1957695
684,2662109,1723685,0,257540,Semi-Urban,CityB,1232079
602,3725722,860420,0,515036,Semi-Urban,CityD,1100365
644,6728010,3387868,0,538441,Rural,CityC,2876960
629,5263892,2900742,0,923903,Rural,CityB,2495580
679,5958479,2513928,0,346593,Rural,CityB,2126313
704,6530229,3203626,0,392916,Semi-Urban,CityD,2689310
583,7688920,6012953,0,521620,Semi-Urban,CityB,3889035
691,4041355,2530578,0,310073,Rural,CityD,1904998
794,3944907,1446560,2,768261,Semi-Urban,CityD,1596024
547,3613236,1459066,0,920597,Semi-Urban,CityD,1478001
591,4099324,2455421,0,485253,Rural,CityC,1913410
588,3631120,601308,0,444751,Semi-Urban,CityB,1085272
630,4977499,2720033,0,810448,Urban,CityC,2013196
763,4837651,871024,1,657748,Rural,CityD,1493221
650,5871857,1005811,0,324160,Semi-Urban,CityB,1610061
601,3214023,1821284,0,515463,Semi-Urban,CityC,1474966
693,4019263,872059,0,837435,Semi-Urban,CityB,1521555
608,5539192,3519065,0,381242,Urban,CityA,2446930
728,6047972,3782482,0,400497,Urban,CityC,2744901
671,1525074,485605,0,744912,Urban,CityB,823503
747,4096894,2046830,0,917572,Urban,CityB,1827818
603,4619569,2548147,0,435097,Urban,CityC,1712370
850,1938269,1294813,1,466942,Urban,CityA,1158656
707,5673051,1367355,0,679433,Semi-Urban,CityA,1785203
695,6806191,3902465,0,780511,Urban,CityD,2773675
646,2085351,1409746,0,651139,Rural,CityC,1294361
599,2652607,1034702,1,257063,Urban,CityB,876998
589,6428273,2864360,0,746505,Urban,CityA,2209818
640,6703009,3083214,0,756604,Semi-Urban,CityC,2616002
594,3090837,2341402,0,481284,Urban,CityA,1438659
669,3518569,479073,0,794278,Semi-Urban,CityA,1182373
592,5989128,2995085,0,611580,Rural,CityD,2572583
693,4635464,2052732,0,797107,Rural,CityB,2042116
716,4218025,1436995,0,611966,Urban,CityC,1500884
600,7391206,4205165,0,1020031,Urban,CityC,3314429
733,5446699,3478306,0,256608,Semi-Urban,CityC,2345686
633,2270827,1085550,0,522889,Urban,CityD,994263
730,5379971,694805,0,848853,Urban,CityB,1826048
680,2892114,765128,0,781654,Semi-Urban,CityD,1165919
728,6113085,698773,0,631305,Urban,CityD,1944376
580,6472990,2132493,1,1113283,Urban,CityB,2545948
642,5657843,2419516,1,512871,Semi-Urban,CityC,2010486
751,6391730,4149501,0,761524,Urban,CityC,2988727
606,7946419,3755407,0,797072,Urban,CityD,3130698
507,6090020,2644278,0,767975,Rural,CityC,2438025
514,4442060,2614440,0,163589,Rural,CityA,1774776
474,3360044,376970,1,736882,Semi-Urban,CityC,902324
502,5336676,3129926,0,922074,Urban,CityC,2458281
621,3447443,1097568,0,281800,Urban,CityB,1052691
739,2841882,1397790,0,871584,Urban,CityA,1642137
619,4307226,2260280,0,647349,Urban,CityB,1864886
672,2332523,530649,0,692045,Urban,CityD,980117
642,3049289,839136,0,375645,Semi-Urban,CityB,1016937
650,5751735,2905619,0,735563,Urban,CityB,2533728
638,4287117,1216838,0,596372,Urban,CityA,1378656
637,4540048,1214880,0,873827,Urban,CityC,1818840
682,4961126,1742952,1,427763,Urban,CityD,1533091
567,2068712,1516547,0,603472,Semi-Urban,CityB,998332
720,5279336,3740131,0,817667,Urban,CityD,2854830
714,4994255,2296484,0,562405,Urban,CityC,1894960
636,4932190,671880,0,400944,Rural,CityA,1351916
706,5514269,3640722,0,715518,Urban,CityA,2527101
600,1752609,397549,1,724999,Semi-Urban,CityD,707067
612,7867744,4469814,0,623669,Semi-Urban,CityC,3452781
660,4544973,3112217,0,703748,Urban,CityB,2313884
636,2848679,2208745,1,601656,Rural,CityB,1404281
618,5167295,975545,0,318042,Urban,CityD,1295265
602,3093248,1442437,0,419800,Semi-Urban,CityB,1212568
610,5099589,3546396,1,729852,Urban,CityB,2360999
715,5810903,2767887,0,423472,Urban,CityA,2382412
513,3021655,1846330,0,778682,Semi-Urban,CityB,1378335
674,6268140,4073174,0,641717,Urban,CityA,2617468
633,5196638,3562903,0,687153,Urban,CityD,2506556
700,5523626,3129536,0,483846,Urban,CityB,2320263
686,5606102,4083582,1,800146,Rural,CityB,2890950
455,5768651,3192682,0,728870,Semi-Urban,CityB,2416383
690,6680543,5085538,0,295713,Urban,CityC,3300669
672,6290682,3400169,0,547660,Urban,CityA,2306135
651,5730366,4072571,0,400710,Rural,CityB,2705631
617,3853491,1992096,1,382127,Urban,CityB,1613592
709,5429497,1851699,1,626730,Urban,CityD,1858286
621,4163249,2786963,1,844780,Semi-Urban,CityB,2013121
778,2826872,1138287,0,257135,Urban,CityD,1058271
689,4937935,931205,0,701008,Semi-Urban,CityB,1588039
799,3630785,2824744,0,703161,Urban,CityC,2069140
595,6702712,4670413,0,768214,Rural,CityA,3272399
527,4943436,2436529,0,532884,Rural,CityC,2056439
700,5067894,2885804,0,697255,Urban,CityC,2439245
709,6162809,4920430,0,544875,Urban,CityB,3033743
652,4372814,931043,0,776152,Urban,CityA,1387264
542,4615108,2188383,0,627939,Semi-Urban,CityB,1819220
618,6747007,2521256,0,841863,Urban,CityB,2437609
693,2924482,1400252,0,661130,Urban,CityC,1327524
637,3699567,637674,0,608105,Urban,CityC,1116572
641,4799459,1960673,0,335843,Urban,CityB,1554087
637,6177184,2613103,0,456140,Urban,CityB,2257831
584,5374689,2779381,0,389660,Urban,CityB,2091707
612,3263725,1839640,0,570894,Semi-Urban,CityC,1415748
550,3620339,1857612,0,823537,Urban,CityC,1711139
773,7541690,4604714,1,607073,Urban,CityC,2965756
616,5474404,2773507,0,402521,Urban,CityB,2290668
683,4072338,1670360,0,515330,Rural,CityA,1524939
578,4273584,1913505,0,816592,Urban,CityD,1726963
705,10610373,4255419,0,428118,Semi-Urban,CityB,3658485
518,7010408,1731933,0,648166,Urban,CityC,1872488
714,2545289,658621,1,516433,Urban,CityD,917684
647,4311838,1811714,0,887214,Semi-Urban,CityC,1835840
797,6084234,2454909,0,736186,Semi-Urban,CityD,2373809
558,4586778,2960759,1,813827,Urban,CityC,2107361
655,6708580,2647211,0,311489,Semi-Urban,CityB,2477002
675,7646374,4368816,0,616341,Rural,CityD,3364125
736,5011341,1083588,1,470807,Urban,CityC,1648791
620,5442109,3683444,0,567134,Rural,CityC,2267965
656,4747007,2752242,0,680669,Semi-Urban,CityB,2065996
500,6324199,4125507,0,99565,Semi-Urban,CityA,2401950
591,7249888,2549344,0,723290,Urban,CityD,2527001
681,6401593,3609118,0,455408,Urban,CityC,2751123
727,3375534,850511,1,623330,Semi-Urban,CityB,1227367
630,6131545,1561729,0,666825,Rural,CityB,2011769
793,4131869,1114447,0,153231,Urban,CityC,1432314
773,7622543,2174039,0,586710,Rural,CityC,2624555
645,5714426,2205131,0,429459,Urban,CityA,2022151
481,6587193,4479863,0,537224,Urban,CityA,3029251
525,4968411,3791860,0,899835,Urban,CityC,2578731
595,4951493,2687277,0,301494,Semi-Urban,CityA,1947819
728,5646166,1097148,0,456646,Urban,CityC,1854686
671,4953798,1951774,0,350820,Urban,CityC,1616955
503,7368371,5565550,1,589536,Urban,CityD,3034579
633,3286706,1066145,0,875634,Rural,CityA,1303225
762,6028125,3215985,0,1014694,Rural,CityB,2659743
623,4120010,3108933,0,685026,Urban,CityB,2059608
597,6291569,2658047,0,335321,Urban,CityC,1981719
793,2304326,1037590,0,627156,Semi-Urban,CityA,1196523
653,6929189,5148981,0,652295,Urban,CityC,3053981
616,4535947,3405936,0,808352,Rural,CityD,2440451
674,3149490,2309020,0,649393,Rural,CityD,1533940
651,6075026,2791743,0,711162,Semi-Urban,CityB,2365756
619,4712335,2581737,0,416799,Rural,CityD,1959509
734,5415708,2774491,1,537324,Urban,CityD,2389666
728,6841863,1443266,0,571005,Semi-Urban,CityA,2139635
708,3363214,1804076,0,653572,Semi-Urban,CityC,1630773
642,3895434,1259787,1,520098,Urban,CityB,1467688
730,5120611,980673,0,447645,Urban,CityA,1632823
646,5851273,1465756,0,810866,Urban,CityC,1845513
682,3944578,1260538,0,758394,Semi-Urban,CityC,1623057
722,3810282,2918738,0,719419,Semi-Urban,CityB,2183685
706,6157003,4885810,0,710778,Urban,CityA,3201885
775,6475458,4576986,0,630454,Urban,CityC,3166831
681,7095910,3003718,0,432308,Semi-Urban,CityB,2357414
532,4557297,1941099,0,215118,Semi-Urban,CityC,1490487
568,1126648,715771,0,790252,Semi-Urban,CityA,772381
744,5785085,977018,0,379340,Urban,CityB,1626453
626,6139898,4886291,0,716462,Urban,CityB,3059771
677,2799765,1636604,0,441244,Semi-Urban,CityA,1214545
590,5135570,1589459,0,541890,Urban,CityB,1720780
720,5412962,3984989,1,923730,Rural,CityC,2790378
623,5510532,2682556,0,473397,Urban,CityA,2258809
752,4302958,686894,0,693223,Urban,CityA,1599674
612,5125150,900858,0,345730,Urban,CityB,1293563
728,5900592,720848,0,798047,Rural,CityB,1912261
697,2335740,587056,0,848337,Urban,CityC,1083660
599,6366624,865796,1,558670,Semi-Urban,CityD,1549723
726,4451245,2035068,0,540809,Rural,CityD,1695978
586,6146753,971545,0,730457,Urban,CityB,1617160
592,3946070,1618621,0,566351,Rural,CityC,1359117
700,2432353,645402,0,338268,Urban,CityC,1002024
606,6771708,3330356,0,434104,Semi-Urban,CityC,2584173
608,7461704,3038984,0,946958,Rural,CityC,2805793
625,2209204,1516129,0,902742,Semi-Urban,CityA,1469245
579,3061585,1027411,0,575342,Rural,CityA,1186490
723,5141260,1342703,0,298192,Urban,CityD,1625397
692,3425960,2597155,0,469874,Urban,CityA,1905261
645,6140378,2618592,0,768720,Urban,CityA,2438898
642,3804404,455427,1,337600,Semi-Urban,CityA,1066263
681,4223629,657220,0,577485,Urban,CityA,1332115
773,5317152,2599557,1,510447,Rural,CityB,2212959
710,1732662,428903,0,830734,Urban,CityC,1001661
614,4520116,921041,0,817973,Urban,CityC,1575202
704,8021973,1900186,0,665235,Urban,CityB,2488360
641,5880327,3653590,0,685750,Rural,CityD,2332086
636,3501336,2676105,0,491797,Urban,CityC,1727065
780,6569023,1251823,1,465078,Semi-Urban,CityA,2007631
620,8094778,5794616,0,632902,Urban,CityD,3498568
616,6912003,4135755,0,688188,Semi-Urban,CityA,2886970
513,4123084,2019447,0,450768,Semi-Urban,CityB,1490745
551,4013606,589651,0,493502,Semi-Urban,CityC,1243571
681,4444285,2895091,0,453461,Rural,CityA,1881257
601,3426420,2290891,0,790949,Urban,CityA,1729625
686,5043824,3168567,0,719362,Urban,CityA,2387707
571,3491466,1694558,0,681399,Rural,CityA,1626698
596,3687141,1998885,0,720361,Urban,CityD,1810952
697,5481228,2223537,0,631131,Semi-Urban,CityA,2051931
752,4154567,1310736,0,429364,Rural,CityD,1392441
691,4693423,1151756,0,645311,Urban,CityC,1662872
733,8222267,5258408,0,655564,Urban,CityA,3401361
769,5552329,4188361,0,696065,Urban,CityD,2780982
722,6785485,3630648,1,851325,Urban,CityC,3102141
585,5656877,2681208,0,565612,Semi-Urban,CityA,2214939
642,5904469,4241117,0,818985,Rural,CityB,3051388
694,2976237,390965,0,817846,Urban,CityA,1077702
620,4179542,1303486,0,439879,Urban,CityB,1544038
681,4606619,1693991,0,630264,Urban,CityC,1663446
539,4330060,527270,0,778370,Semi-Urban,CityA,1320371
